Portfolio,Entity,Title,BodyType,URL,glossary_type,glossary_url1,glossary_url2
Defence,AAF Company,AAF Company Annual Report 2023-24,Commonwealth Company,https://www.transparency.gov.au/publications/defence/aaf-company/aaf-company-annual-report-2023-24,none,,
Finance,ASC Pty Ltd,Annual Report 2024,Commonwealth Company,https://www.transparency.gov.au/publications/finance/asc-pty-ltd/annual-report-2024,one,https://www.transparency.gov.au/publications/finance/asc-pty-ltd/annual-report-2024/glossary,
Prime Minister and Cabinet,Aboriginal Hostels Limited,Aboriginal Hostels Limited Annual Report 2023-24,Commonwealth Company,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/aboriginal-hostels-limited/aboriginal-hostels-limited-annual-report-2023-24,none,,
Attorney-General's,Administrative Appeals Tribunal,Administrative Appeals Tribunal Annual Report 2023–24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/administrative-appeals-tribunal/administrative-appeals-tribunal-annual-report-2023-24,one,https://www.transparency.gov.au/publications/attorney-general-s/administrative-appeals-tribunal/administrative-appeals-tribunal-annual-report-2023-24/glossary,
Health,Aged Care Quality and Safety Commission,Aged Care Quality and Safety Commission Annual Report 2023-2024,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/health/aged-care-quality-and-safety-commission/aged-care-quality-and-safety-commission-annual-report-2023-2024,one,https://www.transparency.gov.au/publications/health/aged-care-quality-and-safety-commission/aged-care-quality-and-safety-commission-annual-report-2023-2024/glossary-,
"Infrastructure, Transport, Cities and Regional Development",Airservices Australia,Airservices Australia Annual Report 2023–24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/airservices-australia/airservices-australia-annual-report-2023-24,one,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/airservices-australia/airservices-australia-annual-report-2023-24/appendices/appendix-d%3A-acronyms,
Prime Minister and Cabinet,Anindilyakwa Land Council,Anindilyakwa Land Council Annual Report 2023-24 ,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/anindilyakwa-land-council/anindilyakwa-land-council-annual-report-2023-24,one,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/anindilyakwa-land-council/anindilyakwa-land-council-annual-report-2023-24/part-1%3A-introduction-to-this-report/1.02-acronyms,
Defence,Army and Air Force Canteen Service,AAFCANS - Army & Air Force Canteen Service,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/defence/army-and-air-force-canteen-service/aafcans-army-air-force-canteen-service,one,https://www.transparency.gov.au/publications/defence/army-and-air-force-canteen-service/aafcans-army-air-force-canteen-service/appendix-4%3A-terms-and-abbreviations-,
Employment and Workplace Relations,Asbestos and Silica Safety and Eradication Agency,Asbestos and Silica Safety and Eradication Agency Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/employment-and-workplace-relations/asbestos-and-silica-safety-and-eradication-agency/asbestos-and-silica-safety-and-eradication-agency-annual-report-2023-24,one,https://www.transparency.gov.au/publications/employment-and-workplace-relations/asbestos-and-silica-safety-and-eradication-agency/asbestos-and-silica-safety-and-eradication-agency-annual-report-2023-24/section-6---reference-and-index/6.1-glossary-of-abbreviations-and-acronyms,
Attorney-General's,Attorney-General's Department,Attorney-General's Department Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/attorney-generals-department/attorney-general-s-department-annual-report-2023-24,one,https://www.transparency.gov.au/publications/attorney-general-s/attorney-generals-department/attorney-general-s-department-annual-report-2023-24/glossary-of-abbreviations-and-acronyms,
Communications and the Arts,Australian Broadcasting Corporation,Australian Broadcasting Corporation Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/communications-and-the-arts/australian-broadcasting-corporation/australian-broadcasting-corporation-annual-report-2023-24,one,https://www.transparency.gov.au/publications/communications-and-the-arts/australian-broadcasting-corporation/australian-broadcasting-corporation-annual-report-2023-24/abbreviations-list,
