Agency,Portfolio,URL Col,URL,Status
AAF Company,Defence,glossary_url1,nan,Error: Message: invalid argument
AAF Company,Defence,glossary_url2,nan,Error: Message: invalid argument
ASC Pty Ltd,Finance,glossary_url1,https://www.transparency.gov.au/publications/finance/asc-pty-ltd/annual-report-2024/glossary,OK
ASC Pty Ltd,Finance,glossary_url2,nan,Error: Message: invalid argument
Aboriginal Hostels Limited,Prime Minister and Cabinet,glossary_url1,nan,Error: Message: invalid argument
Aboriginal Hostels Limited,Prime Minister and Cabinet,glossary_url2,nan,Error: Message: invalid argument
Administrative Appeals Tribunal,Attorney-General's,glossary_url1,https://www.transparency.gov.au/publications/attorney-general-s/administrative-appeals-tribunal/administrative-appeals-tribunal-annual-report-2023-24/glossary,OK
Administrative Appeals Tribunal,Attorney-General's,glossary_url2,nan,Error: Message: invalid argument
Aged Care Quality and Safety Commission,Health,glossary_url1,https://www.transparency.gov.au/publications/health/aged-care-quality-and-safety-commission/aged-care-quality-and-safety-commission-annual-report-2023-2024/glossary-,OK
Aged Care Quality and Safety Commission,Health,glossary_url2,nan,Error: Message: invalid argument
Airservices Australia,"Infrastructure, Transport, Cities and Regional Development",glossary_url1,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/airservices-australia/airservices-australia-annual-report-2023-24/appendices/appendix-d%3A-acronyms,OK
Airservices Australia,"Infrastructure, Transport, Cities and Regional Development",glossary_url2,nan,Error: Message: invalid argument
Anindilyakwa Land Council,Prime Minister and Cabinet,glossary_url1,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/anindilyakwa-land-council/anindilyakwa-land-council-annual-report-2023-24/part-1%3A-introduction-to-this-report/1.02-acronyms,OK
Anindilyakwa Land Council,Prime Minister and Cabinet,glossary_url2,nan,Error: Message: invalid argument
Army and Air Force Canteen Service,Defence,glossary_url1,https://www.transparency.gov.au/publications/defence/army-and-air-force-canteen-service/aafcans-army-air-force-canteen-service/appendix-4%3A-terms-and-abbreviations-,OK
Army and Air Force Canteen Service,Defence,glossary_url2,nan,Error: Message: invalid argument
Asbestos and Silica Safety and Eradication Agency,Employment and Workplace Relations,glossary_url1,https://www.transparency.gov.au/publications/employment-and-workplace-relations/asbestos-and-silica-safety-and-eradication-agency/asbestos-and-silica-safety-and-eradication-agency-annual-report-2023-24/section-6---reference-and-index/6.1-glossary-of-abbreviations-and-acronyms,OK
Asbestos and Silica Safety and Eradication Agency,Employment and Workplace Relations,glossary_url2,nan,Error: Message: invalid argument
Attorney-General's Department,Attorney-General's,glossary_url1,https://www.transparency.gov.au/publications/attorney-general-s/attorney-generals-department/attorney-general-s-department-annual-report-2023-24/glossary-of-abbreviations-and-acronyms,OK
Attorney-General's Department,Attorney-General's,glossary_url2,nan,Error: Message: invalid argument
Australian Broadcasting Corporation,Communications and the Arts,glossary_url1,https://www.transparency.gov.au/publications/communications-and-the-arts/australian-broadcasting-corporation/australian-broadcasting-corporation-annual-report-2023-24/abbreviations-list,OK
Australian Broadcasting Corporation,Communications and the Arts,glossary_url2,nan,Error: Message: invalid argument
